Congestion Ranking,Location Description,State,Average Speed,Peak Average Speed,Non-Peak Average Speed,Non-Peak/Peak Ratio,Year Over Year Change in Rank,Coordinates,
64,"Washington, D.C.: I-95 at I-495 (North)",DC,47,34,52,1.5,Down 6,,
65,"Houston, TX: I-45 at Sam Houston Tollway (North)",TX,49,39,54,1.36,Down 1,,
66,"Atlanta, GA: I-75 at I-675",GA,50,46,52,1.13,Up 20,,
67,"Columbus, OH: I-71 at I-70",OH,48,40,51,1.26,0,,
68,"Waterbury, CT: I-84 at SR 8",CT,45,41,47,1.15,Up 19,,
69,"Providence, RI: I-95 at I-195",RI,43,33,47,1.46,Up 21,,
70,"Detroit, MI: I-75 at I-696",MI,46,36,52,1.43,Down 4,,
71,"Minneapolis-St. Paul, MN: I-35W at I-694",MN,48,40,53,1.34,Up 5,,
72,"Boston, MA: I-95 at I-93 (North)",MA,46,36,50,1.4,Down 4,,
73,"Atlanta, GA: I-75 at I-85",GA,39,26,45,1.69,Up 8,,
74,"Lynnwood, WA: I-5 at I-405",WA,49,41,53,1.32,Up 1,,
75,"Tacoma, WA: I-5 at SR 512",WA,52,49,53,1.09,Up 18,,
76,"Charter Oak Bridge, CT: I-91",CT,51,45,53,1.18,Up 8,,
77,"Bridgeport, CT: I-95 at RT 8",CT,50,43,53,1.23,0,,
78,"Philadelphia, PA: I-76 at I-476",PA,47,39,51,1.32,Down 7,,
79,"Birmingham, AL: I-65 at I-20",AL,52,47,54,1.14,Down 5,,
80,"Boston, MA: I-93 at SR 3",MA,40,26,47,1.76,Up 2,,
81,"Baltimore, MD: I-95 at I-695 (South)",MD,51,44,53,1.2,Down 9,,
82,"Houston, TX: I-45 at I-610 (South)",TX,46,36,51,1.43,Down 26,,
83,"Tampa , FL: I-4 at I-275",FL,41,30,47,1.56,Down 14,,
84,"Cincinnati, OH: I-75/I-71 at I-275",OH,52,46,55,1.2,Up 20,,
85,"Charlotte, NC: I-77 at I-485 (South)",NC,53,48,55,1.15,Up 11,,
86,"Washington, DC: I-495 at I-270 (East)",DC,45,31,51,1.65,Up 3,,
87,"Minneapolis - St. Paul, MN: I-35E at I-94",MN,43,34,47,1.39,Down 2,,
88,"Houston, TX: I-10 at I-610 (East )",TX,53,48,55,1.14,Down 8,,
89,"Baltimore, MD: I-95 at I-395",MD,47,42,49,1.17,Down 10,,
90,"Manhasset, NY: I-495 at Shelter Rock Road",NY,44,36,48,1.32,Down 2,,
91,"Charlotte, NC: I-77 near Lake Norman",NC,45,34,51,1.51,Up 12,,
92,"Elmsford, NY: I-287 at I-87",NY,47,41,49,1.21,Up 3,,
93,"Rye, NY: I-95 at I-287",NY,53,50,53,1.07,Up 7,,
94,"Jacksonville, FL: I-10 at I-95",FL,46,38,51,1.36,0,,
95,"Everett, WA: I-5 at US 2",WA,49,42,52,1.23,Down 4,,
96,"Pittsburgh, PA: I-70 at I-79 (East)",PA,53,52,53,1.01,Up 24,,
97,"Camden, NJ: I-76 at I-676",NJ,46,42,47,1.11,Down 14,,
98,"Las Vegas, NV: I-15 at I-515",NV,48,42,52,1.26,Up 4,,
99,"Charleston, SC: I-26 at I-526",SC,47,40,51,1.29,0,,
100,"Indianapolis, IN: I-465 at I-69",IN,53,47,55,1.16,Down 8,,
